theme,category,description
記憶體,AI/半導體,DRAM、NAND、HBM、記憶體模組、控制 IC
PCB/載板,AI/電子零組件,AI 伺服器 PCB、CCL、ABF 載板、IC 載板
CPO/矽光子,AI/通訊,800G/1.6T 光通訊、矽光子、光收發模組
被動元件,電子零組件,MLCC、電阻、電感、電容與高階電源零件
AI伺服器/ODM,AI硬體,AI 伺服器組裝、主機板、系統整合與品牌伺服器
散熱,AI硬體,水冷、風扇、均熱片、散熱模組與熱管理
電源/BBU,AI硬體,伺服器電源、備援電池、UPS、電池模組
重電/電網,電力基建,變壓器、配電盤、電網升級、工程與電力設備
機器人/自動化,自動化,線性傳動、控制器、工業自動化、機器視覺
ASIC/IP,半導體,ASIC 設計服務、矽智財、AI IC、通訊 IC
封測/CoWoS,半導體,封裝、測試、先進封裝與 CoWoS 供應鏈
半導體設備/耗材,半導體,製程設備、濕製程、測試設備、耗材與通路
軍工/無人機,政策題材,航太、國防、無人機與特殊任務電子
車用電子,電動車/車電,車用連接器、ADAS、車用電源、車用零組件
電子通路,電子供應鏈,IC 通路、零組件代理、供應鏈服務
航運,傳產循環,貨櫃、散裝、航空運輸與物流
金融,金融,金控、銀行、證券、保險與利率循環
塑化,傳產循環,石化、塑膠、化纖與原物料循環
生技醫療,生技醫療,新藥、學名藥、醫材、保健與醫療服務
觀光餐飲,內需消費,飯店、餐飲、旅行社、航空旅遊需求
綠能/儲能,能源轉型,太陽能、風電、儲能、電池與能源工程
